작업대,모드,크기,전력(W),기본 속도,연결 설비 포함 최대 속도,제작품 수,판정,유일 제작품,연구,설치 조건,defName
전기 스토브,코어,3x1,350,1,2.35,41,필수,"간단한 디저트, 간단한 빵, 끓이지 않은 간단한 수프, 끓이지 않은 미식적인 수프, 끓이지 않은 좋은 수프, 끓이지 않은 호화로운 수프, 모에로틀 꼬리파이, 미식적인 디저트, 미식적인 빵, 미식적인 식사, 밀리라 식용 색소, 밀리라 여행용 식량, 보존 식량, 엽화떡, 좋은 디저트, 좋은 빵, 좋은 식사, 좋은 육식주의 식사, 좋은 채식주의 식사, 초월공학 식사, 초월공학 육식주의 식사, 초월공학 채식주의 식사, 호화로운 디저트, 호화로운 빵, 호화로운 식사, 호화로운 육식주의 식사, 호화로운 채식주의 식사",전기,,ElectricStove
전기 재봉 작업대,코어,3x1,120,1,5.75,264,필수,"Basic Wear (child) (Dragonian Primus), 가면, 가짜 꼬리, 가짜 꼬리 (드라고니안 프리무스), 고급 란제리, 고급 팬티, 귀부인 모자, 금색 부적, 기본 드레스 (드라고니안 프리무스), 기본 옷 (드라고니안 프리무스), 깃털 원단, 꼬리모자, 꽃 리본 (드라고니안 프리무스), 꽃 장식 (드라고니안 프리무스), 노예 구속구, 노예 사슬, 높은 모자, 누더기, 두건, 드라고니안 기본드레스, 드라고니안 기본의류, 드라고니안 기본의류(남성), 드라고니안 노예 눈가리개, 드라고니안 노예옷, 드라고니안 리본의류, 드라고니안 무지개 수호보주, 드라고니안 미드오프 드레스, 드라고니안 바니 슈트, 드라고니안 불사조 보주, 드라고니안 수호 보주, 드라고니안 시스루 드레스, 드라고니안 아동드레스,","섬세한 의류, 전기",,ElectricTailoringBench
전기 화장터,코어,3x2,250,1,5.6,6,필수,시체 화장,전기,,ElectricCrematorium
전기로,코어,3x1,700,1,5.6,13,필수,"금, 드라고니안 생체철, 무기 분해, 무기 처리, 분쇄석, 용해 처리, 유리, 의류 분해, 의류 처리",전기,,ElectricSmelter
조립 작업대,코어,5x2,250,1,5.75,161,필수,"<color=#FFAA00><i>반엔트로피검</i></color>, 갑옷 피부, 기계군주 갑옷, 기계군주 헬멧, 도금 무장 도구, 도약 갑옷, 독성정화 신장, 독성정화 폐, 드라고니안 레버액션 산탄총, 드라고니안 보호막 고급 증폭기, 드라고니안 보호막 완충 모듈, 드라고니안 보호막 적응 모듈, 드라고니안 보호막 증폭기, 드라고니안 빔 산탄총, 드라고니안 에너지 보호막, 드라고니안 우주복 (드라고니안 프리무스), 드라고니안 우주복 헬멧 (드라고니안 프리무스), 드라고니안 중세 산탄총, 드라고니안 타락한 보주, 드라고니안 톱, 메카 연산 칩, 메카 연산 칩 (1단계), 메카 연산 칩 (2단계), 면역 증진기, 모에로틀 염황 어갑, 모에로틀 염황관, 모에로틀 염황활도, 모에로틀 운경 어갑, 모에로틀 운경관, 모에",정밀 조립,,FabricationBench
조소 작업대,코어,3x1,0,1,3.6,7,필수,"공허 조각상, 기괴한 조각상, 대형 조각상, 소형 조각상, 월리엄 레싱, 조각상, 초대형 조각상",,,TableSculpting
기본 초월공학 제작대,Archotech Expanded,3x1,600,1,5.55,24,필수,"고급 초월공학 다리, 고급 초월공학 팔, 나노머신, 아토머신, 초월공학 간, 초월공학 골반, 초월공학 귀, 초월공학 뇌 도우미, 초월공학 멸절기, 초월공학 신장, 초월공학 심장, 초월공학 위, 초월공학 장벽, 초월공학 재생기, 초월공학 제압기, 초월공학 척추, 초월공학 턱, 초월공학 폐, 피코머신","단조, 전기, 초월공학 재현",,BasicArchotechWorkbench
무역 보고 장치,Auto Seller,2x1,100,1,1,2,대체 가능 → 무역 보고 증서,,,,ASReportsPrinter
무역 보고 증서,Auto Seller,1x1,0,1,1,2,필수,"목재, 쇼핑 리스트",,,ASReportsLog
CMC 나노 CNC 작업대,CeleTech Arsenal MKIII,3x2,800,1.05,6.35,52,필수,"<color=#5BC4E2><i>QBB-302T ""Zheng"" 특수 기관총</i></color>, <color=#5BC4E2><i>QBUS-85F ""Lihuo"" 스마트 전술 지정사수소총</i></color>, <color=#CEEAED>AR-105R ""Jiuying"" 돌격소총</color>, <color=#CEEAED>AR-231F ""Qilin"" 돌격소총</color>, <color=#CEEAED>QFT-1 ""Xihe"" 펄스 화염방사기</color>, <color=#CEEAED>SG-131F ""Bifang"" 산탄총</color>, <color=#FFAA00><i>QBL-X ""Taotie"" 입자 랜스 Δ</i></color>, <color=#FFAA00><i>QBP-X ""Qiyao"" 펄스 소총 δ</i></c",고급 CNC 플랫폼,,CMC_TableMachining
CMC 주조 가공대,CeleTech Arsenal MKIII,5x2,1200,1.05,6.35,27,필수,"130mm 고폭탄, BB-01Z 펄스 제트팩, BD-01X 범용 동력 헬멧, BD-01Y 기본형 동력 갑옷, BD-02X 중장형 동력 헬멧, BD-02Y 중장형 동력 갑옷, BD-03C 기계 제어 AR 고글, BD-03S 나노 전투복, BD-03X AR 전술 고글, BD-03Y 광학 위장 코트, BRF-X 퍼널 배치 시스템, BX-01 이온 보호막 벨트, BX-02 보호막 벨트, CA-T4 피하 장갑, CB-A1 생체공학 팔, CB-L1 생체공학 다리, CEF 개인 데이터 단말기, QF-M 퍼널 기반 모듈, 고급 프리즘 모듈, 대전차 미사일, 돌격 사격 통제 칩, 로켓탄, 보조 전자기 가속 레일, 초능력 공명기, 탄도 연산 칩",대형 주조 플랫폼,,CMC_FacBench
나노 제작기,Eccentric Tech - Core,3x2,400,1,1,2,필수,"고밀도 육각 셀, 나노직물",나노 가공,,EccentricNanofabricator
나노 조립기,Eccentric Tech - Core,3x2,600,1,1,8,필수,고 에너지 쉴드 코어,나노 가공,,EccentricNanoassembler
중력 단조대,GravTech,3x2,1400,1.6,7.4,27,필수,"빈 인공자아 핵, 인공자아 핵, 중력 갑옷 피부, 중력 광선 캐논, 중력 등짐, 중력 망치, 중력 보호막 벨트, 중력 블래스터, 중력 소총, 중력 손, 중력 척추, 중력 코어, 중력 코어 위장, 중력조직, 중력합금",중력 단조대,,GravForge
부검 테이블,Harvest Organs Post Mortem Continued,1x2,0,1,1,4,필수,"동물 사체에서 생체공학 부위 적출, 번화계 부검, 의학적 장기 적출, 장기 적출 부검",기초적인 부검,,TableAutopsy
룬 작업대,ISEKAI RPG LEVELING,1x1,0,1,1,85,필수,"관통의 룬 I, 관통의 룬 II, 관통의 룬 III, 관통의 룬 IV, 관통의 룬 V, 분노의 룬 I, 분노의 룬 II, 분노의 룬 III, 분노의 룬 IV, 분노의 룬 V, 불꽃의 룬 I, 불꽃의 룬 II, 불꽃의 룬 III, 불꽃의 룬 IV, 불꽃의 룬 V, 서리의 룬 I, 서리의 룬 II, 서리의 룬 III, 서리의 룬 IV, 서리의 룬 V, 수호의 룬 I, 수호의 룬 II, 수호의 룬 III, 수호의 룬 IV, 수호의 룬 V, 신속의 룬 I, 신속의 룬 II, 신속의 룬 III, 신속의 룬 IV, 신속의 룬 V, 안정의 룬 I, 안정의 룬 II, 안정의 룬 III, 안정의 룬 IV, 안정의 룬 V, 용기의 룬 I, 용기의 룬 II, 용기의 룬 III, 용기의 룬 IV, 용기의 룬 V, 재생의 룬 I,",단조,,Isekai_RunicStation
제련 작업대,ISEKAI RPG LEVELING,3x1,0,1,1,5,필수,"대형 마나 코어, 마나 정수, 소형 마나 코어, 일반 마나 코어, 초대형 마나 코어",단조,,Isekai_Forge
입자 구축기,Milira Expanded - Future Technology,3x2,300,1,1,16,필수,"공명 칩, 균열 날, 드론 탑재 장구 II, 드론 탑재 장구 III, 섬멸 폭풍, 에테림 심판자, 영혼 승천 동기화기, 접힌 공간 가속기",기초 역장 조작,,MEXY_ParticleConstructor
밀리라 중력 직조기,Milira Faction: Milira Imperium,3x3,20000,1,4.2,80,필수,"뉴트로늄, 뉴트로늄 직물, 장막 재, 초능력 메크링크, 플랫폼: 축전",물질 직조,,Milira_GravityLoom
태양 조리대,Milira Faction: Milira Imperium,3x1,0,1.35,1.35,41,대체 가능 → 전기 스토브,,하늘 엘프 가구,,MI_Building_Stove
밀리라 드론 인쇄기,Milira Race,1x1,120,1.4,4.6,23,필수,"강습 드론: 게부라, 강습 드론: 말쿠트, 강습 드론: 케테르, 강습 드론: 티페레트, 드론 탑재 장구 I, 밀리라 전투 드론: 섬광탄, 밀리라 전투 드론: 소이탄, 밀리라 전투 드론: 펄스탄, 저장 유닛 조립, 전투 드론: 4연장 로켓 발사기, 전투 드론: 미니건, 전투 드론: 산탄 입자, 전투 드론: 장거리 입자, 전투 드론: 충격 입자, 전투 플랫폼: 메카 제어 유닛, 전투 플랫폼: 에너지 거품 보호막, 청소기 유닛 조립, 화물운송 유닛 조립",드론,,Milira_DroneBench
밀리라 범용 작업대,Milira Race,2x1,360,1.4,4.6,112,필수,"공간 접이기 - 시제품, 나이트 검, 나이트 랜스, 나이트 망치, 나이트 할버드, 대물 저격총 VBW-1, 룩 대검, 룩 편인도, 룩스플룸 배열 시제품, 밀리라 글레이브, 밀리라 소형 축전지, 밀리라 쌍치도, 밀리라 에너지 응집기, 밀리라 에너지 응집기 M2, 밀리라 에너지 응집기 M3, 밀리라 원자력 축전지, 밀리라 초연산팩, 밀리라 쾌검, 밀리라 톱날검, 밀리라 확장 축전지, 밀리언 가드 갑옷, 밀리언 가디언 갑옷, 밀리언 경량 방탄갑옷, 밀리언 고글, 밀리언 고양이 귀 머리띠, 밀리언 깃털 방패, 밀리언 나이트 방패, 밀리언 동력 핵, 밀리언 레인저 갑옷, 밀리언 레인저 갑옷 츠바이, 밀리언 룩 갑옷, 밀리언 룩 마스크, 밀리언 메이드 머리띠, 밀리언 메이드복, 밀리언 방탄 망토, 밀리언 분석 헤드셋,",밀리라 범용 작업대,,Milira_UniversalBench
밀리라 재단 작업대,Milira Race,2x1,240,1.4,4.6,41,대체 가능 → 전기 재봉 작업대,,밀리라 재단 작업대,,Milira_TailoringBench
밀리언 배양기,Milira Race,3x2,350,1,1,21,필수,"가드, 나이트 I, 나이트 II, 나이트 밀리언 모델 소생, 룩 I, 룩 II, 룩 밀리언 모델 소생, 비숍 I, 비숍 II, 비숍 밀리언 모델 소생, 스트라이커, 아웃라이더, 이터널 포트리스, 집정관, 카디널, 캡틴, 팔라딘, 폰 I, 폰 II, 폰 밀리언 모델 소생, 피앙케토",밀리언 배양기,,Milian_Gestator
태양 용광로,Milira Race,3x2,0,1,1.4,110,필수,"AR/GL-21 12, FAF-14 스피어, W.A.S.P. 발사기, 공간 접이기 Mk.I, 공간 접이기 Mk.II, 공간 접이기 Mk.III, 공중폭발 집중 이온 방출기, 궁니르, 독성 폐기물, 디-에스컬레이터 GL-52, 레이 SG 트라이던트, 레이저포, 룩스플룸 배열, 밀리라 검, 밀리라 다이달로스 갑옷, 밀리라 다이달로스 날개, 밀리라 다이달로스 왕관, 밀리라 대검, 밀리라 대낫, 밀리라 랜스, 밀리라 레비아탄 갑옷, 밀리라 발키리 갑옷, 밀리라 발키리 투구, 밀리라 아르테미스 갑옷 (강습형), 밀리라 아르테미스 갑옷 (수호형), 밀리라 아르테미스 눈, 밀리라 전투망치, 밀리라 창, 밀리라 프로토타입 기어: 사이클롭스, 밀리라 함선 축전지, 밀리라의 레이피어, 사이오닉 조율기, 아크 투척기, 에포크 ",태양 용광로,,Milira_SunBlastFurnace
모에로틀 기계 방직기,MoeLotl Race,1x2,120,1,1.6,102,대체 가능 → 전기 재봉 작업대,,"모에로틀 의류, 전기",,Axolotl_ElectricHandBench
모에로틀 방직기,MoeLotl Race,3x3,0,0.5,1.1,107,대체 가능 → 전기 재봉 작업대,,모에로틀 의류,,Axolotl_HandBench
모에로틀 제약대,MoeLotl Race,1x1,0,1,1.6,5,필수,"옥경분, 운기단 반죽, 일식 연지, 적혈단, 회맥단 반죽",취옥죽,,Axolotl_GrindingTable
초월공학 스토브,More Archotech Garbage (Continued),3x1,0,2.5,3.6,9,필수,"끓이지 않은 초월계 수프, 초월계 빵, 초월계 직화구이, 초월계 향신료, 초월계 후식, 초월공학 사료",2단계 초월계 기술,,MAG_ArchotechCookingStove
초월공학 작업대,More Archotech Garbage (Continued),3x1,0,1,5.4,33,필수,"감정 송출기, 감정 판독기, 공포파동 발생장치, 배노메트릭 발전기, 정신 안정기, 정신 파동 발생장치, 정신 파동기, 정신력 증폭기, 정신력 킬 스위치, 정신력 포섭기, 정신분열 창, 정신안정 창, 정신압박기, 정신영감 창, 정신정지 창, 정신충격 창, 정신충전 창, 정신치료 창, 정신파 동물 훈련기, 초능력 보호막 파동기, 초능력 증진기, 초월계 덩어리, 초월계 약품, 초월계 파편, 초월공학 부활기, 초월공학 왕복선 제작기, 초월입자 캡슐",초월공학 기초학,,ArchBench
해부 훈련대,OP 편의 기능 모음 (OP Convenience),3x1,0,1,1,1,필수,의학 훈련,,,OPC_MedTrainingTable
고급 메카 배양기,Tiered Mechs,3x2,450,1,1,15,필수,"고급 리프터, 고급 아그리핸드, 고급 컨스트럭토이드, 고급 클린스위퍼, 고급 터널러, 고급 파라메딕, 고급 파브리코어, 부활 고급/초경량 메카노이드, 울트라테크 리프터, 울트라테크 아그리핸드, 울트라테크 컨스트럭토이드, 울트라테크 클린스위퍼, 울트라테크 파라메딕, 울트라테크 파브리코어, 초월기술 터널러",첨단 기계공학,,AdvancedMechGestator
훈련용 콘솔,Training Console,1x1,550,1,1,12,필수,"건설 기술 훈련, 격투 기술 훈련, 사격 기술 훈련, 사교 기술 훈련, 연구 기술 훈련, 예술 기술 훈련, 원예 기술 훈련, 의학 기술 훈련, 제작 기술 훈련, 조련 기술 훈련, 조리 기술 훈련, 채굴 기술 훈련",미소전자공학,,TrainingConsole
그릴,Vanilla Cooking Expanded,1x1,0,1,3,4,필수,"간단한 바베큐, 미식적인 바베큐, 좋은 바베큐, 호화로운 바베큐",바베큐,,VCE_Grill
조미료 작업대,Vanilla Cooking Expanded,2x1,0,1,3,12,필수,"dragonian butter (Dragonian Primus), dragonian mayo (Dragonian Primus), dragonian white chocolate syrup (Dragonian Primus), 곤충 젤리 잼, 마요네즈, 소금, 연초 버터, 용설란 시럽, 초콜릿 시럽, 케첩, 핫소스",조미료,,VCE_CondimentPrepTable
통조림 기계,Vanilla Cooking Expanded,1x1,85,4,6.75,4,필수,"고기 통조림, 과일 통조림, 달걀 통조림, 야채 통조림","통조림, 전기",,VCE_CanningMachine
튀김기,Vanilla Cooking Expanded,1x1,100,1,3,2,필수,"고기 튀김, 야채 튀김",튀김,,VCE_DeepFrier
대형 기계 작업대,Vanilla Furniture Expanded - Production,5x2,600,1.5,6.25,1,선택(다른 설비 조합으로 대체),,"기계 가공, 제조업",,VFE_TableMachiningLarge
용광로,Vanilla Furniture Expanded - Production,3x1,0,1,5.55,3,대체 가능 → 전기로,,단조,,VFE_FueledSmelter
전기 도축 작업대,Vanilla Furniture Expanded - Production,3x1,350,1.5,3.65,2,선택(다른 설비 조합으로 대체),,전기,,VFE_TableButcherElectric
조립 벤치,Vanilla Furniture Expanded - Production,3x1,250,1,5.75,2,대체 가능 → 조립 작업대,,정밀 조립,,VFE_ComponentFabricationBench
재활용 작업대,Vanilla Recycling Expanded,3x1,0,0.5,2.25,5,대체 가능 → 전기 재활용 작업대,,기초 재활용,,VRecyclingE_RecyclingWorkbench
전기 재활용 작업대,Vanilla Recycling Expanded,3x1,250,1,2.75,5,필수,"맹독성 폐기물, 합금 폐기물",기초 재활용,,VRecyclingE_ElectricRecyclingWorkbench
