이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
식탁 (2x4),table (2x4),Table2x4c,코어,ludeon.rimworld,가구,2x4,8,통과만,,,,,재질(Metallic/Woody/Stony) 95,150,3000,2,Light,예,의자가 있으면 여기서 밥을 먹습니다.,,,
식탁 (3x3),table (3x3),Table3x3c,코어,ludeon.rimworld,가구,3x3,9,통과만,,,,,재질(Metallic/Woody/Stony) 100,175,3300,2,Light,예,의자가 있으면 여기서 밥을 먹습니다.,,,
식탁 의자,dining chair,DiningChair,코어,ludeon.rimworld,가구,1x1,1,가능,,,,complex furniture,재질(Metallic/Woody) 45,100,8000,8,Light,예,사람들이 앉을 수 있는 편안하고 매력적인 의자입니다.,,,
옷장,dresser,Dresser,코어,ludeon.rimworld,가구,2x1,2,통과만,,,연결 설비 [Comfort 0.05] 거리 6,complex furniture,재질(Metallic/Woody/Stony) 50,120,2000,5,Light,예,주위 모든 침대의 편안함을 개선합니다. 한 침대는 옷장 하나의 영향만 받습니다.,,,
의자,stool,Stool,코어,ludeon.rimworld,가구,1x1,1,가능,,,,,재질(Metallic/Woody/Stony) 25,75,450,0,Light,예,앉을 수 있는 간단한 받침대입니다.,,,
작은 책장,small bookcase,BookcaseSmall,코어,ludeon.rimworld,가구,1x1,1,통과만,,,저장 칸당 5묶음,complex furniture,재질(Metallic/Woody/Stony) 10,50,250,0.5,Light,예,"최대 5권의 책을 보관하고 전시할 수 있는 작은 책장입니다. 여기에 보관된 책은 근처에서 이루어지는 연구를 향상시키고, 책장의 미관을 높여줍니다. 보관된 책은 절대 손상되지 않습니다.",,,
잠자리,sleeping spot,SleepingSpot,코어,ludeon.rimworld,가구,1x2,2,가능,,,침대,,,,0,,Light,,바닥에 정착민들이 잠을 청할 위치를 정합니다. 불편합니다.,,,
책장,bookcase,Bookcase,코어,ludeon.rimworld,가구,2x1,2,통과만,,,저장 칸당 5묶음,complex furniture,재질(Metallic/Woody/Stony) 20,100,500,0.5,Light,예,"최대 10권의 책을 보관하고 전시할 수 있는 넓은 책장입니다. 여기에 보관된 책은 근처에서 이루어지는 연구를 향상시키고, 책장의 미관을 높여줍니다. 보관된 책은 절대 손상되지 않습니다.",,,
침낭,bedroll,Bedroll,코어,ludeon.rimworld,가구,1x2,2,가능,,,연결 가능 설비 3종 / 침대,,재질(Fabric/Leathery) 40,75,600,,Light,예,"천이나 가죽으로 만들어 바닥에 놓는 간단한 침대입니다. 가볍고, 말아서 쉽게 운반할 수 있지만 고정식 침대처럼 편하진 않습니다.",,,
침대,bed,Bed,코어,ludeon.rimworld,가구,1x2,2,통과만,,,연결 가능 설비 3종 / 침대,complex furniture,재질(Metallic/Woody/Stony) 45,140,800,1,Light,예,아늑한 매트리스와 천으로 덮여있는 침대입니다.,,,
카우치,couch,Couch,코어,ludeon.rimworld,가구,2x1,2,가능,,,,complex furniture,재질(Fabric/Leathery) 200,160,20000,8,Light,예,푹신해서 정말로 편안한 길쭉한 대형 의자입니다. 고급스러운 휴게실이나 아늑한 독서 공간에 적합합니다.,,,
큰 잠자리,double sleeping spot,DoubleSleepingSpot,코어,ludeon.rimworld,가구,2x2,4,가능,,,침대,,,,0,,Light,,바닥에 두 명이 함께 잠을 청할 위치를 지정합니다. 불편합니다.,,,
큰 침낭,double bedroll,BedrollDouble,코어,ludeon.rimworld,가구,2x2,4,가능,,,연결 가능 설비 3종 / 침대,,재질(Fabric/Leathery) 85,,1100,,Light,예,"천이나 가죽으로 만들어 바닥에 놓는 간단한 침대로, 두 명까지 사용할 수 있습니다. 가볍고, 말아서 쉽게 운반할 수 있지만 고정식 침대처럼 편하진 않습니다.",,,
큰 침대,double bed,DoubleBed,코어,ludeon.rimworld,가구,2x2,4,통과만,,,연결 가능 설비 3종 / 침대,complex furniture,재질(Metallic/Woody/Stony) 85,200,1500,2,Light,예,간단한 2인용 침대입니다.,,,
태양등,sun lamp,SunLamp,코어,ludeon.rimworld,가구,1x1,1,통과만,-2900 W,,조명 반경 14 / 열 3/초,electricity,Steel 40,50,330,,Light,예,작물이 충분히 자랄 수 있도록 주변을 밝게 비춰줍니다. 밤에는 자동으로 꺼집니다.,,,
투광등,flood light,FloodLight,코어,ludeon.rimworld,가구,1x1,1,통과만,-100 W,,조명 반경 24,"electricity, advanced lights",Steel 50,120,600,-5,Light,예,넓은 야외 공간에 적합한 아주 밝은 전등입니다.,,,
팔걸이 의자,armchair,Armchair,코어,ludeon.rimworld,가구,1x1,1,가능,,,,complex furniture,재질(Fabric/Leathery) 110,120,14000,4,Light,예,커다랗고 부드럽고 편안한 의자입니다. 휴식하기에 좋습니다.,,,
협탁,end table,EndTable,코어,ludeon.rimworld,가구,1x1,1,통과만,,,연결 설비 [Comfort 0.05],complex furniture,재질(Metallic/Woody/Stony) 30,75,1000,3,Light,예,다른 가구 옆에 배치하는 작은 탁자입니다. 근처 침대의 머리맡에 붙여서 배치하면 편안함을 개선합니다. 한 침대는 협탁 하나의 영향만 받습니다.,,,
화분,plant pot,PlantPot,코어,ludeon.rimworld,가구,1x1,1,통과만,,,,,재질(Metallic/Woody/Stony) 20,75,250,,Light,예,꽃으로 주변 사람들의 기분을 좋게 만듭니다.,,,
횃불,torch lamp,TorchLamp,코어,ludeon.rimworld,가구,1x1,1,통과만,,,연료 WoodLog 20.0 / 열 3.5/초 / 조명 반경 10 / 설치조건: Heater,,WoodLog 20,75,100,,Light,,주변을 밝게 비추는 나무 횃불입니다. 최대 속도로 이동하고 작업하려면 불빛이 필요합니다. 나무를 자동으로 다시 넣을 수 있습니다. 약한 열을 발산합니다.,,,
회복 침대,hospital bed,HospitalBed,코어,ludeon.rimworld,가구,1x2,2,통과만,,,연결 가능 설비 4종 / 침대,hospital bed,"재질(Metallic) 40, Steel 80, ComponentIndustrial 5",150,2800,,Light,예,부상자들을 위한 특별한 침대입니다. 치료와 수술의 질을 높입니다.,,,
기둥,column,Column,코어,ludeon.rimworld,구조물,1x1,1,통과만,,,,,재질(Metallic/Woody/Stony) 20,160,750,5,Light,,지붕을 지탱하는 기둥입니다. 시야나 이동을 방해하지 않고 보기에 좋습니다.,,,
동물 간이 문,animal flap,AnimalFlap,코어,ludeon.rimworld,구조물,1x1,1,가능,,,,,재질(Fabric/Leathery) 25,20,850,,Light,,벽 사이에 두껍게 겹친 천이나 가죽을 걸어놓습니다. 동물들이 온도에 영향을 주지 않고 지나갈 수 있도록 도와줍니다. 이 간이문은 흔히 우리에 갇힌 동물들에게 잘 수 있는 곳을 제공하기 위한 헛간의 문으로 사용됩니다.,,,
문,door,Door,코어,ludeon.rimworld,구조물,1x1,1,가능,,,,,재질(Metallic/Woody/Stony) 25,160,850,,Light,,방을 나눕니다. 수동으로 열고 닫아야 해서 통과 시 이동속도가 느려집니다. 여닫는 데 걸리는 시간은 문의 재질에 따라 다릅니다.,,,
벽,wall,Wall,코어,ludeon.rimworld,구조물,1x1,1,불가,,,,,재질(Metallic/Woody/Stony) 5,300,135,,Heavy,,지나갈 수 없는 벽입니다. 지붕을 지탱할 수 있습니다.,,,
울타리,fence,Fence,코어,ludeon.rimworld,구조물,1x1,1,통과만,,,,,재질(Metallic/Woody/Stony) 1,40,70,,Light,,"특정 종류의 동물을 위한 헛간을 만드는 데 사용하는 울타리입니다. 포식자는 울타리 안에 있는 동물을 사냥하지 않지만, 직접 울타리를 넘어들어와 돌아다닐 수는 있습니다.",,,
울타리 문,fence gate,FenceGate,코어,ludeon.rimworld,구조물,1x1,1,가능,,,,,재질(Metallic/Woody/Stony) 25,20,500,,Light,,간단한 문입니다. 울타리처럼 몇몇의 동물만 막을 수 있습니다. 조련사는 이 문을 통해 동물들을 우리 안팎으로 몰이를 할 수 있습니다.,,,
자동문,autodoor,Autodoor,코어,ludeon.rimworld,구조물,1x1,1,가능,-50 W,,,autodoor,"재질(Metallic/Woody/Stony) 25, Steel 40, ComponentIndustrial 2",160,1100,,Light,,방을 나눕니다. 전기로 작동하며 문 통과 시 이동속도 감소가 적거나 없습니다.,,,
화려한 문,ornate door,OrnateDoor,코어,ludeon.rimworld,구조물,2x1,2,가능,,,,complex furniture,"재질(Metallic/Woody/Stony) 75, Gold 50",250,15000,30,Light,,방을 나눕니다. 복잡한 문양과 금으로 장식되어 있습니다. 거대하고 무거워서 벽이 지지해줘야 사용할 수 있습니다.,,,
결혼식 장소,marriage spot,MarriageSpot,코어,ludeon.rimworld,기타,2x1,2,가능,,,,,,,0,,Light,,결혼식이 열릴 자리를 지정합니다. 하객들은 양쪽 모두에 있을 수 있습니다.,,,
관,sarcophagus,Sarcophagus,코어,ludeon.rimworld,기타,1x2,2,통과만,,,저장,complex furniture,재질(Woody/Metallic/Stony) 60,250,2400,0,Light,,"명예로운 죽음을 맞이한 사람을 위해 만들어진, 장식된 관입니다.",,,
도구 수납장,tool cabinet,ToolCabinet,코어,ludeon.rimworld,기타,2x1,2,통과만,,,연결 설비 [WorkTableWorkSpeedFactor 0.06],complex furniture,Steel 200,100,1800,,Light,예,작업 속도에 도움을 줍니다. 작업대 근처에 배치되어야 합니다. 한 작업대는 수납장 최대 두 개의 영향만 받습니다.,,,
동면관,cryptosleep casket,CryptosleepCasket,코어,ludeon.rimworld,기타,1x2,2,통과만,,,"작업칸 (1,0,0)",cryptosleep casket,"Steel 180, Uranium 5, ComponentIndustrial 4, ComponentSpacer 1",250,3200,,Medium,,수 년간 내부의 사람을 그대로 보존하기 위한 자가발전형 동면관입니다.,,,
무덤,grave,Grave,코어,ludeon.rimworld,기타,1x2,2,가능,,,저장,,,,800,,Diggable,,적당한 마지막 안식처입니다. 정착민들은 누군가 잠든 무덤을 찾아가 명상합니다.,,,
무역 송신기,orbital trade beacon,OrbitalTradeBeacon,코어,ludeon.rimworld,기타,1x1,1,가능,-40 W,,,microelectronics,"Steel 40, ComponentIndustrial 1",75,800,,Light,예,"궤도의 상선과 거래를 할 때 사용됩니다. 해당 범위 안에 물품이 존재할 때 판매 가능하며, 상선에서 물품을 보낼 때도 송신기 주위로 보냅니다.",,,
발사대,pod launcher,PodLauncher,코어,ludeon.rimworld,기타,1x2,2,불가,,,연료 Chemfuel 150.0 / 설치조건: NotUnderRoof,transport pod,"Steel 50, ComponentIndustrial 1",200,3000,,Medium,,"한 개의 수송 포드를 발사할 수 있는 연료 주입장치입니다. 수송 포드 여러 대를 한 번에 발사할 수 있지만, 각 발사대가 서로의 옆에 근접해야 합니다.",,,
복합 분석기,multi-analyzer,MultiAnalyzer,코어,ludeon.rimworld,기타,2x2,4,통과만,-200 W,,연결 설비 [ResearchSpeedFactor 0.1],multi-analyzer,"Steel 40, Plasteel 50, Gold 20, ComponentIndustrial 8",200,10000,,Medium,예,연구 속도를 올려줍니다. 고급 연구대 근처에 배치되어야 합니다. 하나의 작업대에 하나의 분석기만 연결될 수 있습니다.,,,
상단 구성 장소,caravan hitching spot,CaravanPackingSpot,코어,ludeon.rimworld,기타,1x1,1,가능,,,,,,,0,,Light,,가축을 묶어두고 상단을 준비하는 장소를 지정합니다. 정착지 주민들은 상단에 짐을 싣는 동안 이곳에 가축을 묶어둘 것입니다. 가축들이 방황하는 것을 막기 위해 집에서 멀리 나가 있는 동안에도 이것을 사용할 수 있습니다.,,,
생체신호 모니터,vitals monitor,VitalsMonitor,코어,ludeon.rimworld,기타,1x1,1,통과만,-80 W,,"연결 설비 [MedicalTendQualityOffset 0.07, ImmunityGainSpeedFactor 0.02, SurgerySuccessChanceFactor 0.05]",vitals monitor,"Steel 50, ComponentIndustrial 3",100,6000,,Light,예,"회복 침대 바로 옆에 배치하면 치료 품질, 수술 성공률, 항체 생성 속도가 증가합니다. 의료용으로 지정된 일반 침대에는 영향을 주지 않습니다. 모니터는 인접해 있는 모든 회복 침대에 영향을 미치지만, 여러 개를 설치한다고 효과가 중첩되지는 않습니다.",,,
소방거품 분사기,firefoam popper,FirefoamPopper,코어,ludeon.rimworld,기타,1x1,1,통과만,,,,firefoam,"Steel 75, ComponentIndustrial 1",50,1500,-8,Light,예,불에 닿으면 터져 주위에 원형으로 불연성 거품을 뿌립니다. 수동으로 작동시킬 수도 있습니다.,,,
수송 포드,transport pod,TransportPod,코어,ludeon.rimworld,기타,1x1,1,통과만,,,"설치조건: NeedsFuelingPort,NotUnderRoof",transport pod,"Steel 60, ComponentIndustrial 1",250,1600,,Medium,,"사람, 물건, 동물을 운반할 수 있는 발사형 화물 포드입니다. 선물 보내기, 사람이나 물자 수송, 기습 ​​공격, 증원 등에 사용할 수 있습니다.",,,
습도 조정 펌프,moisture pump,MoisturePump,코어,ludeon.rimworld,기타,1x1,1,통과만,-150 W,,,moisture pump,"Steel 75, ComponentIndustrial 4",50,1500,-8,Light,,"매우 천천히 근처 지형의 습도를 균일하게 조정하여 습지나 얕은 물을 마른 땅으로 바꾸고, 고운 모래를 일반 모래로 바꿉니다. 깊은 물에는 영향을 주지 않습니다.",,,
알 상자,egg box,EggBox,코어,ludeon.rimworld,기타,1x1,1,가능,,,,,재질(Metallic/Woody) 20,50,2000,,Light,예,"알을 담기 위한 부드러운 재질의 상자입니다. 알을 낳는 동물들은 가능하면 알 상자에 알을 낳습니다. 시간을 절약하기 위해, 운반 작업을 담당하는 정착민들은 가득 찬 상자의 알만 운반합니다. 알 상자는 야외에서도 알이 손상되지 않도록 보호하지만 온도 피해는 막지 못합니다.",,,
우리 표시,pen marker,PenMarker,코어,ludeon.rimworld,기타,1x1,1,통과만,,,,,재질(Metallic/Woody/Stony) 30,100,600,0,Light,예,"동물들을 지정한 간판이 붙은 게시판입니다. 이것은 엄폐물, 울타리, 벽 그리고 문 등으로 둘러쌓인 구역에 배치해야 합니다. 각 우리 표시에 동물들을 할당할 수 있으며, 해당 구역에 할당한 동물들을 가져올 것입니다.",,,
장거리 광물 탐색기,long-range mineral scanner,LongRangeMineralScanner,코어,ludeon.rimworld,기타,3x3,9,통과만,-700 W,,"작업칸 (0,0,2) / 설치조건: NotUnderRoof",long-range mineral scanner,"Steel 200, ComponentIndustrial 6, ComponentSpacer 2",250,10000,-8,Heavy,,"행성의 귀중한 자원을 탐지하는 데 사용하는 장비입니다. 특정 광물만을 찾도록 조정할 수 있습니다. 탐색 속도는 담당자의 연구 능력에 달려 있으며, 찾아낸 자원을 수집하기 위해서는 여행을 떠나야 합니다.",,,
장엄한 비석,grand stele,SteleGrand,코어,ludeon.rimworld,기타,3x3,9,통과만,,,,complex furniture,재질(Stony) 250,400,16000,30,Heavy,,"측면에 대규모의 조각이 우뚝 솟은 비석입니다. 비석은 고대부터 인물이나 전투, 중요한 사건들을 기념하기 위해 사용되었습니다.",,,
지면 투과 탐색기,ground-penetrating scanner,GroundPenetratingScanner,코어,ludeon.rimworld,기타,3x3,9,통과만,-700 W,,"작업칸 (0,0,2) / 설치조건: NotUnderRoof",ground-penetrating scanner,"Steel 150, ComponentIndustrial 4, ComponentSpacer 1",200,12000,-8,Heavy,,"지하 자원 탐색에 사용하는 장치입니다. 탐색 속도는 담당자의 연구 능력에 달려 있으며, 많은 전기를 소비합니다. 찾아낸 지하 자원은 심층 굴착기를 사용하여 추출할 수 있습니다. 지붕 아래에서는 작동하지 않습니다.",,,
커다란 비석,large stele,SteleLarge,코어,ludeon.rimworld,기타,2x2,4,통과만,,,,complex furniture,재질(Stony) 125,200,8000,15,Medium,,"측면에 조각이 있는 두껍고 큰 비석입니다. 비석은 고대부터 인물이나 전투, 중요한 사건들을 기념하기 위해 사용되었습니다.",,,
통신기,comms console,CommsConsole,코어,ludeon.rimworld,기타,3x2,6,통과만,-200 W,,"작업칸 (0,0,2)",microelectronics,"Steel 120, ComponentIndustrial 4",250,2200,,Medium,,"멀리 떨어진 상인들과 거래를 하거나, 다른 세력들과의 외교에 필요한 라디오 송출기입니다.",,,
파티 장소,party spot,PartySpot,코어,ludeon.rimworld,기타,1x1,1,가능,,,,,,,0,,Light,,파티가 열릴 자리를 지정합니다. 주위 구역을 사용합니다.,,,
가시 함정,spike trap,TrapSpike,코어,ludeon.rimworld,방어,1x1,1,가능,,,,,재질(Metallic/Woody/Stony) 45,40,3200,-18,Light,예,팽팽한 줄과 접촉 작동 방아쇠에 연결된 다섯 개의 쐐기입니다. 누군가 방아쇠를 건드리면 쐐기가 튀어나와 공격합니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
거품 포탑,foam turret,Turret_FoamTurret,코어,ludeon.rimworld,방어,1x1,1,통과만,-80 W,,연료 Chemfuel 10,foam turret,"재질(Metallic) 30, Steel 70, ComponentIndustrial 3, Chemfuel 140",100,1800,-20,Light,예,화재 진압용 수동 작동식 포탑입니다. 누군가 작동시키면 시야 내의 모든 화염에 대량의 소방 거품을 방사합니다.,,,
고폭탄 지뢰,IED trap,TrapIED_HighExplosive,코어,ludeon.rimworld,방어,1x1,1,가능,,,,IEDs,Shell_HighExplosive 2,40,1400,-4,Light,예,접촉 작동 방아쇠에 연결된 고폭탄 지뢰입니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
대형 기관포,autocannon turret,Turret_Autocannon,코어,ludeon.rimworld,방어,2x2,4,통과만,-150 W,,연료 Steel 90,autocannon turret,"Steel 350, Plasteel 40, ComponentIndustrial 6",380,15000,-20,Heavy,,대형 기관포탑입니다. 대구경 탄환은 상당한 거리를 둔 상대에게도 큰 피해를 입힐 수 있지만 사용 후 포신을 교체해야 합니다. 근접한 대상에게는 발사할 수 없으며 크게 손상되면 폭발할 수 있습니다.,,,
로켓탄막 발사기,rocketswarm launcher,Turret_RocketswarmLauncher,코어,ludeon.rimworld,방어,2x2,4,통과만,-150 W,,연료 Chemfuel 12,rocketswarm launcher,"Plasteel 20, Steel 200, ComponentIndustrial 2, Chemfuel 180",200,10000,-20,Heavy,,넓은 범위를 덮는 로켓 탄막을 1회 발사하는 비상용 방어 장치입니다. 누군가가 직접 조작해야 합니다. 다수의 약한 전투원에 대해선 굉장히 효과적이지만 소수의 중무장 대상에게는 효율이 떨어집니다. 한 번 발사 후에는 수 시간 동안 냉각한 후 다시 장전해야 합니다.,,,
모래주머니,sandbags,Sandbags,코어,ludeon.rimworld,방어,1x1,1,통과만,,,,,재질(Fabric/Leathery) 5,300,180,-10,Light,,단순한 모래 주머니를 길게 이어 쌓아놓은 구조물입니다. 보기 좋지는 않지만 원거리 공격에서 우수한 엄폐 효과를 제공합니다.,,,
박격포,mortar,Turret_Mortar,코어,ludeon.rimworld,방어,2x2,4,통과만,,,"연료 ReinforcedBarrel 20 / 작업칸 (0,0,-1) / 설치조건: NotUnderRoof",mortars,"재질(Metallic) 75, Steel 150, ComponentIndustrial 6",180,2000,-20,Heavy,예,"모든 종류의 포탄을 발사할 수 있는 유인 박격포입니다. 파괴적인 피해를 입힐 수 있지만, 고유의 부정확성 때문에 개방된 지역의 적 집단보다는 요새화된 구조물 공격 시 더 유용합니다.",,,
반물질탄 지뢰,IED antigrain warhead trap,TrapIED_AntigrainWarhead,코어,ludeon.rimworld,방어,1x1,1,가능,,,,IEDs,Shell_AntigrainWarhead 1,40,1400,-4,Light,예,접촉 작동 방아쇠에 연결된 반물질 대전차 탄두입니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
소방거품탄 지뢰,IED firefoam trap,TrapIED_Firefoam,코어,ludeon.rimworld,방어,1x1,1,가능,,,,IEDs,Shell_Firefoam 2,40,1400,-4,Light,예,누군가 방아쇠를 건드리면 주위에 화재 진압 거품을 발포합니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
소이탄 지뢰,IED incendiary trap,TrapIED_Incendiary,코어,ludeon.rimworld,방어,1x1,1,가능,,,,IEDs,Shell_Incendiary 2,40,1400,-4,Light,예,접촉 작동 방아쇠에 연결된 소이탄 한쌍입니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
소형 기관포,mini-turret,Turret_MiniTurret,코어,ludeon.rimworld,방어,1x1,1,통과만,-80 W,,연료 Steel 60,gun turrets,"재질(Metallic) 30, Steel 70, ComponentIndustrial 3",100,1800,-20,Light,예,휴대 가능한 자동포탑입니다. 많이 발사한 후에는 강철을 사용해서 포신을 수리해야 합니다. 크게 손상되면 폭발할 수 있습니다. 사격 인공지능의 신뢰도가 떨어지므로 직접 통제할 수 없습니다. 빗나간 총알을 맞지 않도록 주의하세요.,,,
엄폐물,barricade,Barricade,코어,ludeon.rimworld,방어,1x1,1,통과만,,,,,재질(Metallic/Woody/Stony) 5,300,320,-3,Heavy,,엄폐에 사용하는 허리 높이의 장벽입니다. 엄폐물은 생긴 건 이래도 다른 낮은 물체보다는 더 몸을 잘 숨길 수 있습니다. 울타리와 마찬가지로 일부 동물을 막아줍니다.,,,
연막탄 지뢰,IED smoke trap,TrapIED_Smoke,코어,ludeon.rimworld,방어,1x1,1,가능,,,,IEDs,Shell_Smoke 2,40,1400,-4,Light,예,접촉 또는 충격 시 작동되는 방아쇠에 연결된 연막탄 한쌍입니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
저격포,uranium slug turret,Turret_Sniper,코어,ludeon.rimworld,방어,2x2,4,통과만,-150 W,,연료 Uranium 30,uranium slug turret,"Steel 300, Plasteel 30, Uranium 60, ComponentIndustrial 6",380,15000,-20,Heavy,,"장갑판을 관통할 수 있는 포탑입니다. 초고밀도 우라늄 탄환은 중장갑도 뚫을 수 있지만, 사용 후 우라늄 재장전이 필요합니다. 멀리서도 정확하지만 가까이 있는 대상에게는 발사할 수 없습니다. 크게 손상되면 폭발할 수 있습니다.",,,
펄스탄 지뢰,IED EMP trap,TrapIED_EMP,코어,ludeon.rimworld,방어,1x1,1,가능,,,,IEDs,Shell_EMP 2,40,1400,-4,Light,예,접촉 작동 방아쇠에 연결된 전자기 펄스 폭탄 한쌍입니다. 폭발하면 몇 초 동안 메카노이드를 마비시킬 수 있습니다. 주변 지형에 숨겨야 하므로 다른 함정 옆에 배치할 수 없습니다. 광란에 빠지지 않은 동물들은 함정을 알아차리고 피해다닙니다.,,,
간이 도축 장소,butcher spot,ButcherSpot,코어,ludeon.rimworld,생산,1x1,1,가능,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",,,,0,,Light,,동물을 도축하는 장소입니다. 적당한 장비가 없기 때문에 고기와 가죽이 일부 손실되어 70%만 생산됩니다.,2,"도축, 사료",
간이 제작 장소,crafting spot,CraftingSpot,코어,ludeon.rimworld,생산,1x1,1,가능,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",,,,0,,Light,,날붙이나 활처럼 간단한 물건을 만들 수 있는 장소를 지정합니다.,22,"화학 폐기물, 유기성 폐기물, 연초, 메카노이드와 드론 분쇄, 부족 쓰개, 전쟁가면, 전쟁베일, 몸싸개, 곤봉, 단검, 단궁, 곡궁, 장궁, 하프, 아동용 몸싸개, 구울 철판, 구울 미늘, 의식 가면, 의식 두건, 신경 석궁, 고급 약초, 진정 약초 연고, 회복 약초 연고",
